2023-06-06 05:57:14,839: 'h'
2023-06-06 05:57:14,861: 'e'
2023-06-06 05:57:15,043: 'h'
2023-06-06 05:57:15,073: 'e'
2023-06-06 05:57:15,360: Key.enter
2023-06-06 05:57:18,791: 'n'
2023-06-06 05:57:18,924: 'd'
2023-06-06 05:57:19,516: 'd'
2023-06-06 05:57:19,931: Key.enter
2023-06-06 05:57:46,491: Key.ctrl
2023-06-06 05:57:46,687: 'c'
2023-06-06 06:02:40,106: 'h'
2023-06-06 06:02:40,162: 'e'
2023-06-06 06:02:40,778: 'v'
2023-06-06 06:02:41,046: Key.enter
2023-06-06 06:02:41,573: 'e'
2023-06-06 06:02:41,623: 'j'
2023-06-06 06:02:42,247: "'"
2023-06-06 06:02:42,539: 'f'
2023-06-06 06:02:42,728: 'h'
2023-06-06 06:02:42,990: 'f'
2023-06-06 06:02:43,182: Key.enter
2023-06-06 06:02:43,897: Key.enter
2023-06-06 06:02:44,183: Key.enter
2023-06-06 06:02:44,564: Key.ctrl
2023-06-06 06:02:44,855: 'c'
